pull,lane,phase,fill_weight
1,1,1,236.93
1,1,2,237.39
1,2,1,236.30
1,2,2,241.35
1,3,1,236.09
1,3,2,232.30
1,4,1,235.81
1,4,2,241.89
2,1,1,239.67
2,1,2,236.39
2,2,1,236.31
2,2,2,240.28
2,3,1,234.65
2,3,2,239.68
2,4,1,235.14
2,4,2,240.61
3,1,1,239.67
3,1,2,237.26
3,2,1,236.47
3,2,2,239.26
3,3,1,234.01
3,3,2,237.22
3,4,1,235.60
3,4,2,238.99
4,1,1,
4,1,2,239.27
4,2,1,236.69
4,2,2,239.19
4,3,1,235.44
4,3,2,237.82
4,4,1,235.78
4,4,2,238.95
5,1,1,237.46
5,1,2,239.08
5,2,1,236.85
5,2,2,239.51
5,3,1,237.09
5,3,2,238.65
5,4,1,236.63
5,4,2,239.10
6,1,1,237.83
6,1,2,239.61
6,2,1,236.78
6,2,2,240.16
6,3,1,234.61
6,3,2,238.97
6,4,1,236.25
6,4,2,239.65
7,1,1,238.66
7,1,2,238.00
7,2,1,236.87
7,2,2,239.16
7,3,1,233.55
7,3,2,237.65
7,4,1,236.02
7,4,2,238.96
8,1,1,238.68
8,1,2,238.52
8,2,1,236.95
8,2,2,238.63
8,3,1,236.38
8,3,2,237.91
8,4,1,237.06
8,4,2,238.27
9,1,1,237.98
9,1,2,238.87
9,2,1,236.97
9,2,2,239.78
9,3,1,235.52
9,3,2,237.80
9,4,1,236.67
9,4,2,239.01
10,1,1,238.03
10,1,2,239.32
10,2,1,236.57
10,2,2,239.41
10,3,1,235.63
10,3,2,238.02
10,4,1,236.41
10,4,2,238.80
11,1,1,237.71
11,1,2,238.96
11,2,1,237.40
11,2,2,238.70
11,3,1,236.77
11,3,2,237.22
11,4,1,237.38
11,4,2,238.22
12,1,1,237.94
12,1,2,239.17
12,2,1,237.16
12,2,2,238.69
12,3,1,236.03
12,3,2,237.86
12,4,1,236.61
12,4,2,239.10
13,1,1,236.04
13,1,2,239.08
13,2,1,237.56
13,2,2,240.14
13,3,1,237.10
13,3,2,238.34
13,4,1,237.13
13,4,2,239.39
14,1,1,232.31
14,1,2,232.32
14,2,1,237.71
14,2,2,240.92
14,3,1,237.12
14,3,2,240.05
14,4,1,237.45
14,4,2,240.44
15,1,1,240.05
15,1,2,236.90
15,2,1,237.29
15,2,2,240.24
15,3,1,235.77
15,3,2,239.42
15,4,1,236.67
15,4,2,241.05
16,1,1,238.78
16,1,2,238.56
16,2,1,236.80
16,2,2,239.48
16,3,1,235.38
16,3,2,238.27
16,4,1,235.35
16,4,2,239.13
17,1,1,238.18
17,1,2,239.22
17,2,1,236.60
17,2,2,239.88
17,3,1,235.80
17,3,2,238.54
17,4,1,236.75
17,4,2,239.10
18,1,1,238.40
18,1,2,237.94
18,2,1,235.48
18,2,2,239.91
18,3,1,234.18
18,3,2,239.09
18,4,1,235.78
18,4,2,240.21
19,1,1,239.92
19,1,2,238.02
19,2,1,236.69
19,2,2,239.17
19,3,1,234.68
19,3,2,237.85
19,4,1,236.31
19,4,2,239.12
20,1,1,238.78
20,1,2,238.08
20,2,1,236.86
20,2,2,239.14
20,3,1,234.44
20,3,2,237.96
20,4,1,236.38
20,4,2,238.92
21,1,1,238.69
21,1,2,237.86
21,2,1,236.66
21,2,2,239.42
21,3,1,235.06
21,3,2,237.96
21,4,1,236.11
21,4,2,239.78
22,1,1,238.97
22,1,2,237.96
22,2,1,237.47
22,2,2,238.58
22,3,1,236.02
22,3,2,237.59
22,4,1,236.69
22,4,2,238.35
23,1,1,238.65
23,1,2,237.92
23,2,1,236.67
23,2,2,239.35
23,3,1,235.64
23,3,2,237.77
23,4,1,236.80
23,4,2,238.60
24,1,1,238.83
24,1,2,238.16
24,2,1,236.89
24,2,2,238.91
24,3,1,236.35
24,3,2,238.09
24,4,1,236.45
24,4,2,238.82
25,1,1,238.75
25,1,2,238.68
25,2,1,237.49
25,2,2,
25,3,1,236.35
25,3,2,237.50
25,4,1,236.98
25,4,2,238.30
26,1,1,238.55
26,1,2,239.28
26,2,1,238.31
26,2,2,239.00
26,3,1,237.39
26,3,2,235.37
26,4,1,238.72
26,4,2,236.27
27,1,1,237.67
27,1,2,238.91
27,2,1,237.62
27,2,2,238.90
27,3,1,238.10
27,3,2,236.15
27,4,1,239.30
27,4,2,236.88
28,1,1,237.37
28,1,2,239.26
28,2,1,236.98
28,2,2,239.72
28,3,1,238.65
28,3,2,236.85
28,4,1,240.37
28,4,2,237.26
29,1,1,234.38
29,1,2,239.10
29,2,1,237.92
29,2,2,239.74
29,3,1,234.39
29,3,2,237.49
29,4,1,240.28
29,4,2,237.10
30,1,1,236.03
30,1,2,239.61
30,2,1,237.53
30,2,2,240.50
30,3,1,239.58
30,3,2,236.44
30,4,1,239.38
30,4,2,236.42
31,1,1,239.03
31,1,2,238.60
31,2,1,237.06
31,2,2,239.67
31,3,1,238.65
31,3,2,231.83
31,4,1,239.77
31,4,2,236.10
32,1,1,238.48
32,1,2,238.28
32,2,1,236.68
32,2,2,238.55
32,3,1,238.84
32,3,2,236.20
32,4,1,238.89
32,4,2,236.62
33,1,1,239.02
33,1,2,239.37
33,2,1,237.42
33,2,2,240.09
33,3,1,238.53
33,3,2,235.24
33,4,1,240.31
33,4,2,235.65
34,1,1,237.97
34,1,2,239.09
34,2,1,236.87
34,2,2,239.64
34,3,1,239.56
34,3,2,235.93
34,4,1,239.91
34,4,2,235.88
35,1,1,238.04
35,1,2,238.64
35,2,1,236.97
35,2,2,239.46
35,3,1,238.54
35,3,2,234.86
35,4,1,239.01
35,4,2,236.34
36,1,1,238.87
36,1,2,238.54
36,2,1,236.44
36,2,2,239.36
36,3,1,238.36
36,3,2,234.90
36,4,1,239.38
36,4,2,236.41
37,1,1,238.39
37,1,2,238.99
37,2,1,236.98
37,2,2,239.11
37,3,1,237.97
37,3,2,235.68
37,4,1,236.77
37,4,2,238.42
38,1,1,238.47
38,1,2,238.64
38,2,1,237.49
38,2,2,239.43
38,3,1,237.77
38,3,2,235.53
38,4,1,238.58
38,4,2,236.33
39,1,1,238.58
39,1,2,238.81
39,2,1,236.20
39,2,2,239.26
39,3,1,237.32
39,3,2,235.90
39,4,1,239.65
39,4,2,235.89
40,1,1,238.29
40,1,2,239.11
40,2,1,237.04
40,2,2,239.18
40,3,1,
40,3,2,237.70
40,4,1,
40,4,2,239.10
41,1,1,238.53
41,1,2,239.45
41,2,1,237.32
41,2,2,239.18
41,3,1,236.83
41,3,2,237.76
41,4,1,239.60
41,4,2,236.38
42,1,1,236.07
42,1,2,239.13
42,2,1,237.53
42,2,2,239.84
42,3,1,236.44
42,3,2,234.37
42,4,1,236.87
42,4,2,240.38
43,1,1,234.74
43,1,2,239.56
43,2,1,237.58
43,2,2,239.68
43,3,1,237.19
43,3,2,239.11
43,4,1,236.66
43,4,2,240.83
44,1,1,238.10
44,1,2,239.03
44,2,1,236.20
44,2,2,239.78
44,3,1,234.38
44,3,2,238.68
44,4,1,235.03
44,4,2,239.24
45,1,1,238.00
45,1,2,238.99
45,2,1,237.00
45,2,2,239.99
45,3,1,235.28
45,3,2,239.02
45,4,1,235.55
45,4,2,239.19
46,1,1,238.51
46,1,2,239.09
46,2,1,236.13
46,2,2,239.51
46,3,1,235.06
46,3,2,238.06
46,4,1,236.14
46,4,2,239.02
47,1,1,238.47
47,1,2,238.43
47,2,1,236.96
47,2,2,238.64
47,3,1,232.97
47,3,2,238.09
47,4,1,236.48
47,4,2,238.37
48,1,1,238.71
48,1,2,238.72
48,2,1,237.40
48,2,2,239.41
48,3,1,234.69
48,3,2,237.61
48,4,1,237.34
48,4,2,238.13
49,1,1,237.62
49,1,2,239.63
49,2,1,235.97
49,2,2,239.30
49,3,1,234.66
49,3,2,238.38
49,4,1,235.71
49,4,2,239.79
50,1,1,238.30
50,1,2,238.45
50,2,1,237.64
50,2,2,239.36
50,3,1,235.66
50,3,2,237.89
50,4,1,236.39
50,4,2,238.35
51,1,1,238.33
51,1,2,239.10
51,2,1,236.21
51,2,2,238.74
51,3,1,236.41
51,3,2,237.60
51,4,1,237.18
51,4,2,238.26
52,1,1,237.89
52,1,2,239.86
52,2,1,236.85
52,2,2,240.61
52,3,1,235.22
52,3,2,235.24
52,4,1,237.09
52,4,2,239.94
53,1,1,236.37
53,1,2,239.93
53,2,1,237.40
53,2,2,240.34
53,3,1,236.84
53,3,2,230.31
53,4,1,237.25
53,4,2,239.89
54,1,1,238.93
54,1,2,238.81
54,2,1,237.13
54,2,2,239.98
54,3,1,237.19
54,3,2,238.40
54,4,1,236.28
54,4,2,239.70
55,1,1,237.69
55,1,2,239.03
55,2,1,236.58
55,2,2,239.04
55,3,1,234.56
55,3,2,238.72
55,4,1,236.08
55,4,2,238.68
56,1,1,238.84
56,1,2,238.89
56,2,1,236.79
56,2,2,238.96
56,3,1,235.20
56,3,2,238.38
56,4,1,236.20
56,4,2,239.65
57,1,1,237.77
57,1,2,239.19
57,2,1,237.08
57,2,2,238.68
57,3,1,235.55
57,3,2,237.93
57,4,1,236.25
57,4,2,238.35
58,1,1,238.75
58,1,2,238.88
58,2,1,237.29
58,2,2,238.92
58,3,1,236.74
58,3,2,237.94
58,4,1,237.37
58,4,2,238.16
59,1,1,237.84
59,1,2,239.86
59,2,1,236.50
59,2,2,239.40
59,3,1,234.77
59,3,2,238.17
59,4,1,236.41
59,4,2,238.94
60,1,1,238.25
60,1,2,238.63
60,2,1,237.11
60,2,2,238.32
60,3,1,234.80
60,3,2,237.84
60,4,1,236.92
60,4,2,237.91
61,1,1,238.26
61,1,2,239.43
61,2,1,237.10
61,2,2,239.29
61,3,1,235.45
61,3,2,237.99
61,4,1,236.78
61,4,2,238.70
62,1,1,237.52
62,1,2,239.10
62,2,1,237.72
62,2,2,238.32
62,3,1,235.31
62,3,2,237.41
62,4,1,236.15
62,4,2,238.10
63,1,1,237.78
63,1,2,239.04
63,2,1,236.44
63,2,2,238.83
63,3,1,236.03
63,3,2,237.04
63,4,1,236.55
63,4,2,239.03
64,1,1,238.26
64,1,2,240.01
64,2,1,237.22
64,2,2,239.48
64,3,1,236.37
64,3,2,237.93
64,4,1,235.47
64,4,2,240.41
65,1,1,237.76
65,1,2,239.53
65,2,1,237.66
65,2,2,238.83
65,3,1,231.14
65,3,2,236.87
65,4,1,237.54
65,4,2,239.96
66,1,1,237.46
66,1,2,238.92
66,2,1,239.55
66,2,2,237.65
66,3,1,237.48
66,3,2,237.33
66,4,1,236.81
66,4,2,239.44
67,1,1,237.88
67,1,2,238.48
67,2,1,239.40
67,2,2,236.67
67,3,1,235.43
67,3,2,237.83
67,4,1,235.69
67,4,2,238.62
68,1,1,238.42
68,1,2,239.32
68,2,1,239.12
68,2,2,236.74
68,3,1,235.10
68,3,2,237.85
68,4,1,237.11
68,4,2,238.55
69,1,1,237.57
69,1,2,
69,2,1,236.61
69,2,2,238.58
69,3,1,235.09
69,3,2,
69,4,1,236.19
69,4,2,
70,1,1,239.51
70,1,2,238.47
70,2,1,239.21
70,2,2,237.38
70,3,1,237.83
70,3,2,236.35
70,4,1,239.18
70,4,2,237.35
71,1,1,239.16
71,1,2,237.55
71,2,1,238.55
71,2,2,237.03
71,3,1,238.61
71,3,2,234.59
71,4,1,238.65
71,4,2,235.82
72,1,1,239.81
72,1,2,237.93
72,2,1,239.24
72,2,2,237.40
72,3,1,238.07
72,3,2,236.12
72,4,1,238.88
72,4,2,236.50
73,1,1,238.97
73,1,2,238.25
73,2,1,238.56
73,2,2,237.77
73,3,1,236.71
73,3,2,236.49
73,4,1,238.34
73,4,2,237.44
74,1,1,238.87
74,1,2,238.29
74,2,1,238.08
74,2,2,237.15
74,3,1,237.63
74,3,2,235.10
74,4,1,238.65
74,4,2,235.93
75,1,1,239.38
75,1,2,238.33
75,2,1,239.25
75,2,2,236.75
75,3,1,237.83
75,3,2,236.71
75,4,1,238.72
75,4,2,236.86
76,1,1,238.67
76,1,2,237.83
76,2,1,238.55
76,2,2,238.02
76,3,1,236.68
76,3,2,237.82
76,4,1,238.23
76,4,2,237.00
77,1,1,239.49
77,1,2,238.81
77,2,1,239.16
77,2,2,237.92
77,3,1,236.71
77,3,2,237.29
77,4,1,239.42
77,4,2,237.20
78,1,1,239.64
78,1,2,236.61
78,2,1,239.63
78,2,2,237.33
78,3,1,238.43
78,3,2,236.56
78,4,1,239.46
78,4,2,237.00
79,1,1,237.65
79,1,2,237.60
79,2,1,237.96
79,2,2,236.81
79,3,1,237.99
79,3,2,234.77
79,4,1,238.26
79,4,2,236.10
80,1,1,239.66
80,1,2,238.44
80,2,1,239.63
80,2,2,236.92
80,3,1,237.79
80,3,2,235.81
80,4,1,239.59
80,4,2,236.62
81,1,1,238.71
81,1,2,238.75
81,2,1,239.04
81,2,2,236.73
81,3,1,237.99
81,3,2,236.49
81,4,1,238.00
81,4,2,237.30
82,1,1,239.06
82,1,2,237.84
82,2,1,238.73
82,2,2,236.44
82,3,1,237.40
82,3,2,235.44
82,4,1,238.89
82,4,2,236.20
83,1,1,239.63
83,1,2,237.46
83,2,1,239.42
83,2,2,237.38
83,3,1,237.67
83,3,2,234.86
83,4,1,238.92
83,4,2,237.24
84,1,1,238.87
84,1,2,
84,2,1,238.17
84,2,2,
84,3,1,237.17
84,3,2,236.38
84,4,1,237.97
84,4,2,237.18
85,1,1,238.24
85,1,2,239.57
85,2,1,237.05
85,2,2,238.86
85,3,1,237.60
85,3,2,235.73
85,4,1,238.52
85,4,2,236.33
86,1,1,237.93
86,1,2,239.27
86,2,1,237.57
86,2,2,238.49
86,3,1,237.62
86,3,2,236.72
86,4,1,239.07
86,4,2,237.02
87,1,1,238.32
87,1,2,238.48
87,2,1,237.29
87,2,2,238.22
87,3,1,237.64
87,3,2,236.85
87,4,1,238.20
87,4,2,237.26
88,1,1,234.74
88,1,2,239.45
88,2,1,238.19
88,2,2,239.26
88,3,1,238.87
88,3,2,237.03
88,4,1,239.82
88,4,2,237.04
89,1,1,237.68
89,1,2,239.04
89,2,1,237.44
89,2,2,238.84
89,3,1,237.50
89,3,2,236.53
89,4,1,239.77
89,4,2,236.96
90,1,1,239.04
90,1,2,237.99
90,2,1,237.84
90,2,2,238.09
90,3,1,237.89
90,3,2,234.42
90,4,1,238.25
90,4,2,235.71
91,1,1,237.69
91,1,2,239.78
91,2,1,236.34
91,2,2,239.32
91,3,1,238.34
91,3,2,234.56
91,4,1,239.35
91,4,2,235.99
92,1,1,238.26
92,1,2,239.15
92,2,1,237.70
92,2,2,238.67
92,3,1,237.97
92,3,2,235.94
92,4,1,238.52
92,4,2,237.12
93,1,1,238.28
93,1,2,238.35
93,2,1,237.25
93,2,2,237.63
93,3,1,231.63
93,3,2,236.69
93,4,1,237.96
93,4,2,237.13
94,1,1,238.50
94,1,2,239.37
94,2,1,237.56
94,2,2,238.49
94,3,1,237.53
94,3,2,235.76
94,4,1,238.18
94,4,2,236.92
95,1,1,237.75
95,1,2,239.77
95,2,1,237.02
95,2,2,239.44
95,3,1,237.35
95,3,2,235.78
95,4,1,238.62
95,4,2,236.91
96,1,1,237.85
96,1,2,238.88
96,2,1,237.30
96,2,2,238.19
96,3,1,237.25
96,3,2,237.06
96,4,1,237.72
96,4,2,237.75
97,1,1,238.21
97,1,2,238.90
97,2,1,237.68
97,2,2,238.32
97,3,1,237.25
97,3,2,235.75
97,4,1,238.08
97,4,2,236.75
98,1,1,238.31
98,1,2,240.16
98,2,1,236.81
98,2,2,240.50
98,3,1,238.47
98,3,2,237.56
98,4,1,239.51
98,4,2,237.42
99,1,1,235.37
99,1,2,238.88
99,2,1,237.38
99,2,2,240.12
99,3,1,237.42
99,3,2,
99,4,1,240.64
99,4,2,
100,1,1,235.11
100,1,2,238.95
100,2,1,237.38
100,2,2,240.13
100,3,1,237.31
100,3,2,239.45
100,4,1,236.14
100,4,2,240.00
