"TIME","FACTOR 1","FACTOR 2","Y","PDC RSG","PDCxT RSG","YBAR(k,t)","YBAR(.t)","YBAR(k.)","YBAR","R1","R2","R3","R4","R5","RCR1","RCR2","RCR3","RCR4","RCR5","PDC ID","PDC MAIN EFFECTS","PT ID","PT MAIN EFFECTS","PDCxPT ID","PDCxPT INTERACTION EFFECTS","F1 ID","F1 MAIN EFFECT","F2 ID","F2 MAIN EFFECT","F1xF2 ID","F1xF2 INTERACTION EFFECT","F1 MAIN EFFECTS","F2 MAIN EFFECTS","F1xF2 INTERACTION EFFECTS","TAGUCHI COMPONENT","TAGUCHI LOSS","PERCENT CONTRIBUTION TO LOSS","LOSS FUNCTION LABELS","TAGUCHI-COMPONENT","TAGUCHI-LOSS","PERCENT-CONTRIBUTION TO LOSS","LOSS-FUNCTION LABELS","VAS MU ESTIMATE","GLM MU ESTIMATE PDCxT","GLM MU ESTIMATE F1-F2","VAS PDC,PT AND PDCxPT ESTIMATES","GLM PDC,PT AND PDCxPT ESTIMATES","VAS F1,F2 AND F1xF2 ESTIMATES","GLM F1,F2 AND F1xF2 ESTIMATES"
1,1,1,236.92999267578125,11,11001,238.29999542236328,237.54937362670898,238.10812338574004,237.78237031228343,-0.8523776365021831,-1.3700027465820313,-0.9451340243843447,-1.60299943215648,-1.044249673125421,236.92999267578125,236.4123675657014,236.8372362878991,236.17937088012695,236.738120639158,8,0.32575307345661003,1,-0.23299668557444875,11001,0.42486872219768657,1,0.6065651783139283,1,-0.3816774388109254,11,0.10086533395360714,-0.7634375682681027,-1.7516801853929564,-1.2691374126284238,"PDCxTIME",1.2059178711986434,43.7,"43.7%","PDCxTIME",1.2059178711986434,43.7,"43.7%",237.78237031228343,237.78237031228343,237.78237031228343,0.32575307345661003,0.32575307345662297,0.6065651783139283,0.6065651783139413
1,1,1,239.6699981689453,11,11001,238.29999542236328,237.54937362670898,238.10812338574004,237.78237031228343,1.8876278566618794,1.3700027465820313,1.7948714687797178,1.1370060610075825,1.6957558200386416,239.6699981689453,239.15237305886546,239.57724178106315,238.91937637329102,239.47812613232207,8,0.8873772831712466,2,-0.31972151926717807,11002,0.9377823741414915,2,0.3755035922554268,2,0.3816774388108962,12,-0.10086533395357788,1.9765679248959598,0.988325307771106,1.4708680805356387,"UNEXPLAINED",0.9299194198456252,33.7,"33.7%","UNEXPLAINED",0.9299194198456252,33.7,"33.7%",,,,0.8873772831712466,0.8873772831712531,0.3755035922554268,0.3755035922554511
2,1,1,239.6699981689453,11,11002,238.72618424061437,237.46264879301626,238.10812338574004,237.78237031228343,1.8876278566618794,0.9438139283309397,1.8815963024724454,0.6240924090637634,1.26956700178755,239.6699981689453,238.72618424061437,239.66396661475588,238.4064627213472,239.05193731407098,8,-0.3876699949006195,3,0.2320053743620747,11003,-0.6951244876411806,3,-1.0393346324770936,,,21,-0.3814961483451209,1.5503791066448682,0.5621364895200145,1.044679262284547,"PDC",0.5925970507052605,21.5,"21.5%","F1",0.3981050301365155,14.4,"14.4%",,,,-0.3876699949006195,-0.3876699949005872,-1.0393346324770936,-1.0393346324770802
2,1,1,237.7823703122834,11,11002,238.72618424061437,237.46264879301626,238.10812338574004,237.78237031228343,-0.00000000000002842170943040401,-0.9438139283309681,-0.00603155418946244,-1.2635354475981444,-0.6180608548743578,237.7823703122834,236.83855638395247,237.77633875809397,236.5188348646853,237.16430945740908,8,1.138677179411473,4,-0.20299409158030812,11004,0.7648688747855772,4,0.05726586190768004,,,22,0.3814961483451499,-0.3372487500170396,-1.3254913671418933,-0.8429485943773607,"TIME",0.03088364588131944,1.1," 1.1%","F2",0.14567766729725656,5.3," 5.3%",,,,1.138677179411473,1.1386771794114878,0.05726586190768004,0.05726586190768779
3,1,1,237.4600067138672,11,11003,237.64500427246094,238.0143756866455,238.10812338574004,237.78237031228343,-0.3223635984162456,-0.18499755859375,-0.8801220462349306,0.04700781576832469,0.1407555148628603,237.4600067138672,237.59737275368968,236.9022482660485,237.82937812805176,237.9231258271463,8,-1.2715462734672374,5,0.01700617544850047,11005,-0.12013230777057515,,,,,31,0.14946579782078162,0.4215676197201786,-0.5666749974046752,-0.08413222464014258,"MEAN",0,0," 0.0%","F1xF2",0.048814353271488406,1.8," 1.8%",,,,-1.2715462734672374,-1.2715462734672032,-0.3816774388109254,-0.3816774388109027
3,1,1,237.8300018310547,11,11003,237.64500427246094,238.0143756866455,238.10812338574004,237.78237031228343,0.04763151877125438,0.18499755859375,-0.5101269290474306,0.4170029329558247,0.5107506320503603,237.8300018310547,237.96736787087718,237.272243383236,238.19937324523926,238.2931209443338,8,-0.8071229914869497,6,0.02513148062428172,11006,-0.3082502887276064,,,,,32,-0.1494657978207523,0.7915627369076785,-0.19667988021717514,0.2858628925473574,,,,,"TIME",0.03088364588131944,1.1," 1.1%",,,,-0.8071229914869497,-0.8071229914869488,0.3816774388108962,0.3816774388109027
4,1,1,238.66000366210937,11,11004,238.6699981689453,237.57937622070312,238.10812338574004,237.78237031228343,0.8776333498259419,-0.0099945068359375,0.7548743679496397,-0.21298859841624562,0.3157585666206728,238.66000366210937,237.7723758054475,238.53724468023307,237.5693817138672,238.0981288789041,8,-0.19324656033245474,7,-0.08861993081370656,11007,-3.8445080325630556,,,,,41,0.13116501657079066,0.596570671477991,-0.39167194564686264,0.09087082711766992,,,,,"MEAN",0,0," 0.0%",,,,-0.19324656033245474,-0.19324656033244003,0.10086533395360714,0.10086533395358721
4,1,1,238.67999267578125,11,11004,238.6699981689453,237.57937622070312,238.10812338574004,237.78237031228343,0.8976223634978169,0.0099945068359375,0.7748633816215147,-0.19299958474437062,0.3357475802925478,238.67999267578125,237.79236481911937,238.55723369390495,237.58937072753906,238.11811789257598,8,0.30777828414781483,8,0.2888806032439106,11008,1.0179969265433897,,,,,42,-0.1311650165707614,0.616559685149866,-0.37168293197498764,0.11085984078954492,,,,,,,,,,,,0.30777828414781483,0.30777828414781505,-0.10086533395357788,-0.10086533395358721
5,1,1,237.97999572753906,11,11005,238.00499725341797,237.79937648773193,238.10812338574004,237.78237031228343,0.19762541525562938,-0.02500152587890625,-0.1451338336494814,-0.007995350430405779,0.30075154757770406,237.97999572753906,237.75736878640453,237.63723647863395,237.77437496185303,238.08312185986114,8,,9,0.03387953512867625,11009,0.14799036526409282,,,,,,,0.5815636524350223,-0.4066789646898314,0.07586380807470117,,,,,,,,,,,,-0.23299668557444875,-0.2329966855744139,-0.3814961483451209,-0.38149614834513473
5,1,1,238.02999877929687,11,11005,238.00499725341797,237.79937648773193,238.10812338574004,237.78237031228343,0.24762846701344188,0.02500152587890625,-0.0951307818916689,0.04200770132740672,0.35075459933551656,238.02999877929687,237.80737183816234,237.68723953039176,237.82437801361084,238.13312491161895,8,,10,-0.13736985451976125,11010,1.3792449429008116,,,,,,,0.6315667041928348,-0.3566759129320189,0.12586685983251367,,,,,,,,,,,,-0.31972151926717807,-0.31972151926715076,0.3814961483451499,0.38149614834513473
