TIME,FACTOR 1,FACTOR 2,Y
1,1,1,236.9299927
1,1,1,239.6699982
2,1,1,239.6699982
2,1,1,237.7823703
3,1,1,237.4600067
3,1,1,237.8300018
4,1,1,238.6600037
4,1,1,238.6799927
5,1,1,237.9799957
5,1,1,238.0299988
6,1,1,237.7100067
6,1,1,237.9400024
7,1,1,236.0399933
7,1,1,232.3099976
8,1,1,240.0500031
8,1,1,238.7799988
9,1,1,238.1799927
9,1,1,238.3999939
10,1,1,239.9199982
10,1,1,238.7799988
11,1,1,238.6900024
11,1,1,238.9700012
12,1,1,238.6499939
12,1,1,238.8300018
13,1,1,238.75
13,1,1,238.5500031
14,1,1,237.6699982
14,1,1,237.3699951
15,1,1,234.3800049
15,1,1,236.0299988
16,1,1,239.0299988
16,1,1,238.4799957
17,1,1,239.0200043
17,1,1,237.9700012
18,1,1,238.0399933
18,1,1,238.8699951
19,1,1,238.3899994
19,1,1,238.4700012
20,1,1,238.5800018
20,1,1,238.2899933
21,1,1,238.5299988
21,1,1,236.0700073
22,1,1,234.7400055
22,1,1,238.1000061
23,1,1,238
23,1,1,238.5099945
24,1,1,238.4700012
24,1,1,238.7100067
25,1,1,237.6199951
25,1,1,238.3000031
26,1,1,238.3300018
26,1,1,237.8899994
27,1,1,236.3699951
27,1,1,238.9299927
28,1,1,237.6900024
28,1,1,238.8399963
29,1,1,237.7700043
29,1,1,238.75
30,1,1,237.8399963
30,1,1,238.25
31,1,1,238.2599945
31,1,1,237.5200043
32,1,1,237.7799988
32,1,1,238.2599945
33,1,1,237.7599945
33,1,1,237.4600067
34,1,1,237.8800049
34,1,1,238.4199982
35,1,1,237.5700073
35,1,1,239.5099945
36,1,1,239.1600037
36,1,1,239.8099976
37,1,1,238.9700012
37,1,1,238.8699951
38,1,1,239.3800049
38,1,1,238.6699982
39,1,1,239.4900055
39,1,1,239.6399994
40,1,1,237.6499939
40,1,1,239.6600037
41,1,1,238.7100067
41,1,1,239.0599976
42,1,1,239.6300049
42,1,1,238.8699951
43,1,1,238.2400055
43,1,1,237.9299927
44,1,1,238.3200073
44,1,1,234.7400055
45,1,1,237.6799927
45,1,1,239.0399933
46,1,1,237.6900024
46,1,1,238.2599945
47,1,1,238.2799988
47,1,1,238.5
48,1,1,237.75
48,1,1,237.8500061
49,1,1,238.2100067
49,1,1,238.3099976
50,1,1,235.3699951
50,1,1,235.1100006
1,1,2,237.3899994
1,1,2,236.3899994
2,1,2,237.2599945
2,1,2,239.2700043
3,1,2,239.0800018
3,1,2,239.6100006
4,1,2,238
4,1,2,238.5200043
5,1,2,238.8699951
5,1,2,239.3200073
6,1,2,238.9600067
6,1,2,239.1699982
7,1,2,239.0800018
7,1,2,232.3200073
8,1,2,236.8999939
8,1,2,238.5599976
9,1,2,239.2200012
9,1,2,237.9400024
10,1,2,238.0200043
10,1,2,238.0800018
11,1,2,237.8600006
11,1,2,237.9600067
12,1,2,237.9199982
12,1,2,238.1600037
13,1,2,238.6799927
13,1,2,239.2799988
14,1,2,238.9100037
14,1,2,239.2599945
15,1,2,239.1000061
15,1,2,239.6100006
16,1,2,238.6000061
16,1,2,238.2799988
17,1,2,239.3699951
17,1,2,239.0899963
18,1,2,238.6399994
18,1,2,238.5399933
19,1,2,238.9900055
19,1,2,238.6399994
20,1,2,238.8099976
20,1,2,239.1100006
21,1,2,239.4499969
21,1,2,239.1300049
22,1,2,239.5599976
22,1,2,239.0299988
23,1,2,238.9900055
23,1,2,239.0899963
24,1,2,238.4299927
24,1,2,238.7200012
25,1,2,239.6300049
25,1,2,238.4499969
26,1,2,239.1000061
26,1,2,239.8600006
27,1,2,239.9299927
27,1,2,238.8099976
28,1,2,239.0299988
28,1,2,238.8899994
29,1,2,239.1900024
29,1,2,238.8800049
30,1,2,239.8600006
30,1,2,238.6300049
31,1,2,239.4299927
31,1,2,239.1000061
32,1,2,239.0399933
32,1,2,240.0099945
33,1,2,239.5299988
33,1,2,238.9199982
34,1,2,238.4799957
34,1,2,239.3200073
35,1,2,237.7823703
35,1,2,238.4700012
36,1,2,237.5500031
36,1,2,237.9299927
37,1,2,238.25
37,1,2,238.2899933
38,1,2,238.3300018
38,1,2,237.8300018
39,1,2,238.8099976
39,1,2,236.6100006
40,1,2,237.6000061
40,1,2,238.4400024
41,1,2,238.75
41,1,2,237.8399963
42,1,2,237.4600067
42,1,2,237.7823703
43,1,2,239.5700073
43,1,2,239.2700043
44,1,2,238.4799957
44,1,2,239.4499969
45,1,2,239.0399933
45,1,2,237.9900055
46,1,2,239.7799988
46,1,2,239.1499939
47,1,2,238.3500061
47,1,2,239.3699951
48,1,2,239.7700043
48,1,2,238.8800049
49,1,2,238.8999939
49,1,2,240.1600037
50,1,2,238.8800049
50,1,2,238.9499969
1,2,1,236.3000031
1,2,1,236.3099976
2,2,1,236.4700012
2,2,1,236.6900024
3,2,1,236.8500061
3,2,1,236.7799988
4,2,1,236.8699951
4,2,1,236.9499969
5,2,1,236.9700012
5,2,1,236.5700073
6,2,1,237.3999939
6,2,1,237.1600037
7,2,1,237.5599976
7,2,1,237.7100067
8,2,1,237.2899933
8,2,1,236.8000031
