"TIME","FACTOR 1","FACTOR 2","Y","PDC RSG","PDCxT RSG","YBAR(k,t)","YBAR(.t)","YBAR(k.)","YBAR","R1","R2","R3","R4","R5","RCR1","RCR2","RCR3","RCR4","RCR5","PDC ID","PDC MAIN EFFECTS","PT ID","PT MAIN EFFECTS","PDCxPT ID","PDCxPT INTERACTION EFFECTS","F1 ID","F1 MAIN EFFECT","F2 ID","F2 MAIN EFFECT","F1xF2 ID","F1xF2 INTERACTION EFFECT","F1 MAIN EFFECTS","F2 MAIN EFFECTS","F1xF2 INTERACTION EFFECTS","TAGUCHI COMPONENT","TAGUCHI LOSS","PERCENT CONTRIBUTION TO LOSS","LOSS FUNCTION LABELS","TAGUCHI-COMPONENT","TAGUCHI-LOSS","PERCENT-CONTRIBUTION TO LOSS","LOSS-FUNCTION LABELS","VAS MU ESTIMATE","GLM MU ESTIMATE PDCxT","GLM MU ESTIMATE F1-F2","VAS PDC AND PT ESTIMATES","GLM PDC AND PT ESTIMATES","VAS F1,F2 AND F1xF2 ESTIMATES","GLM F1,F2 AND F1xF2 ESTIMATES"
1,1,1,236.92999267578125,11,11001,236.92999267578125,237.25749969482422,238.10812338574004,237.78237031228343,-0.8523776365021831,0,-0.6532600924995791,-1.1781307099587934,-0.32750701904296875,236.92999267578125,237.78237031228343,237.12911021978385,236.60423960232464,237.45486329324046,11,0.3257530734566228,1,-0.5248706174592002,11001,-0.6532600924995791,1,0.6065651783139383,1,-0.3816774388109021,11,0.1008653339535866,-0.04669491418565319,-1.0349375313104936,-0.552394758546005,"PDCxTIME",1.0827675924305118,47.2,"47.2%","PDCxTIME",1.0827675924305118,47.2,"47.2%",237.78237031228343,237.78237031228343,237.78237031228343,0.3257530734566228,0.32575307345662297,0.6065651783139383,0.6065651783139415
2,1,1,239.6699981689453,11,11002,239.6699981689453,237.84124755859375,238.10812338574004,237.78237031228343,1.8876278566618794,0,1.5029975368949522,1.561874783205269,1.8287506103515625,239.6699981689453,237.78237031228343,239.28536784917839,239.3442450954887,239.611120922635,12,0.8873772831712538,2,0.05887724631033109,11002,1.5029975368949522,2,0.37550359225545094,2,0.38167743881090216,12,-0.10086533395358671,2.1095627152088783,1.1213200980840377,1.6038628708485263,"PDC",0.5925970507052534,25.8,"25.8%","UNEXPLAINED",0.5355090053138029,23.3,"23.3%",,,,0.8873772831712538,0.8873772831712531,0.37550359225545094,0.37550359225545105
3,1,1,239.6699981689453,11,11003,239.6699981689453,237.30999946594238,238.10812338574004,237.78237031228343,1.8876278566618794,0,2.0342456295463194,1.561874783205269,2.3599987030029297,239.6699981689453,237.78237031228343,239.81661594182975,239.3442450954887,240.14236901528636,21,-0.38766999490058623,3,-0.4723708463410361,11003,2.0342456295463194,3,-1.0393346324770774,,,21,-0.3814961483451351,2.6408108078602455,1.6525681907354048,2.1351109634998933,"UNEXPLAINED",0.5355090053138029,23.3,"23.3%","F1",0.39810503013651494,17.3,"17.3%",,,,-0.38766999490058623,-0.38766999490058696,-1.0393346324770774,-1.0393346324770802
4,1,1,237.7823703122834,11,11004,237.7823703122834,237.61529812009013,238.10812338574004,237.78237031228343,-0.00000000000002842170943040401,0,-0.15868088126333646,-0.32575307345663873,0.16707219219327385,237.7823703122834,237.78237031228343,237.6236894310201,237.4566172388268,237.9494425044767,22,1.138677179411488,4,-0.16707219219330582,11004,-0.15868088126333646,4,0.05726586190768827,,,22,0.38149614834513496,0.44788429705058935,-0.540358320074251,-0.05781554730976235,"TIME",0.08550747500564032,3.7," 3.7%","F2",0.14567766729724996,6.3," 6.3%",,,,1.138677179411488,1.1386771794114878,0.05726586190768827,0.057265861907687676
5,1,1,237.4600067138672,11,11005,237.4600067138672,238.04625129699707,238.10812338574004,237.78237031228343,-0.3223635984162456,0,-0.9119976565864931,-0.6481166718728559,-0.5862445831298828,237.4600067138672,237.78237031228343,236.87037265569694,237.13425364041058,237.19612572915355,31,-1.2715462734672054,5,0.2638809847136514,11005,-0.9119976565864931,,,,,31,0.14946579782077407,-0.30543247827256725,-1.2936750953974077,-0.811132322632919,"MEAN",0,0," 0.0%","TIME",0.08550747500564032,3.7," 3.7%",,,,-1.2715462734672054,-1.2715462734672036,-0.3816774388109021,-0.38167743881090255
6,1,1,237.8300018310547,11,11006,237.8300018310547,237.98250007629395,238.10812338574004,237.78237031228343,0.04763151877125438,0,-0.4782513186958681,-0.27812155468535593,-0.1524982452392578,237.8300018310547,237.78237031228343,237.30411899358757,237.50424875759808,237.62987206704418,32,-0.8071229914869494,6,0.2001297640105264,11006,-0.4782513186958681,,,,,32,-0.14946579782077424,0.1283138596180577,-0.8599287575067827,-0.377385984742294,,,,,"F1xF2",0.04881435327148846,2.1," 2.1%",,,,-0.8071229914869494,-0.807122991486949,0.38167743881090216,0.38167743881090255
7,1,1,238.66000366210937,11,11007,238.66000366210937,237.35875129699707,238.10812338574004,237.78237031228343,0.8776333498259419,0,0.9754992916556944,0.5518802763693316,1.3012523651123047,238.66000366210937,237.78237031228343,238.75786960393913,238.33425058865276,239.08362267739574,41,-0.1932465603324397,7,-0.4236190152863486,11007,0.9754992916556944,,,,,41,0.13116501657077412,1.5820644699696202,0.5938218528447798,1.0763646256092685,,,,,"MEAN",0,0," 0.0%",,,,-0.1932465603324397,-0.19324656033243992,0.1008653339535866,0.1008653339535869
8,1,1,238.67999267578125,11,11008,238.67999267578125,237.80000114440918,238.10812338574004,237.78237031228343,0.8976223634978169,0,0.55423845791546,0.5718692900412066,0.8799915313720703,238.67999267578125,237.78237031228343,238.3366087701989,238.35423960232464,238.6623618436555,42,0.3077782841478162,8,0.017630832125760776,11008,0.55423845791546,,,,,42,-0.13116501657077423,1.1608036362293859,0.17256101910454547,0.6551037918690341,,,,,,,,,,,,0.3077782841478162,0.3077782841478156,-0.10086533395358671,-0.1008653339535869
9,1,1,237.97999572753906,11,11009,237.97999572753906,237.82499885559082,238.10812338574004,237.78237031228343,0.19762541525562938,0,-0.17075620150836812,-0.12812765820098093,0.1549968719482422,237.97999572753906,237.78237031228343,237.61161411077507,237.65424265408245,237.93736718423168,,,9,0.0426285433074014,11009,-0.17075620150836812,,,,,,,0.4358089768055577,-0.5524336403192827,-0.06989086755479401,,,,,,,,,,,,-0.5248706174592002,-0.52487061745918,-0.3814961483451351,-0.3814961483451346
10,1,1,238.02999877929687,11,11010,238.02999877929687,237.77375411987305,238.10812338574004,237.78237031228343,0.24762846701344188,0,-0.06950841403278218,-0.07812460644316843,0.2562446594238281,238.02999877929687,237.78237031228343,237.71286189825065,237.70424570584026,238.03861497170726,,,10,-0.008616192410372037,11010,-0.06950841403278218,,,,,,,0.5370567642811437,-0.4511858528436968,0.031356919920791926,,,,,,,,,,,,0.05887724631033109,0.05887724631035174,0.38149614834513496,0.3814961483451346
11,1,1,237.7100067138672,11,11011,237.7100067138672,237.79500198364258,238.10812338574004,237.78237031228343,-0.07236359841624562,0,-0.41074834323200093,-0.39811667187285593,-0.08499526977539063,237.7100067138672,237.78237031228343,237.37162196905143,237.38425364041058,237.69737504250804,,,11,0.012631671359159213,11011,-0.41074834323200093,,,,,,,0.19581683508192488,-0.7924257820429155,-0.3098830092784268,,,,,,,,,,,,-0.4723708463410361,-0.4723708463410154,0.14946579782077407,0.14946579782077374
12,1,1,237.94000244140625,11,11012,237.94000244140625,237.82000160217285,238.10812338574004,237.78237031228343,0.15763212912281688,0,-0.20575223422321187,-0.16812094433379343,0.12000083923339844,237.94000244140625,237.78237031228343,237.57661807806022,237.61424936794964,237.90237115151683,,,12,0.03763128988943265,11012,-0.20575223422321187,,,,,,,0.40081294409071394,-0.5874296730341264,-0.10488690026963776,,,,,,,,,,,,-0.16707219219330582,-0.16707219219328492,-0.14946579782077424,-0.14946579782077374
13,1,1,236.0399932861328,11,11013,236.0399932861328,238.0974998474121,238.10812338574004,237.78237031228343,-1.7423770261506206,0,-2.383259634735907,-2.068130099607231,-2.057506561279297,236.0399932861328,237.78237031228343,235.39911067754753,235.7142402126762,235.72486375100414,,,13,0.31512953512869046,11013,-2.383259634735907,,,,,,,-1.7766944564219813,-2.7649370735468217,-2.2823943007823333,,,,,,,,,,,,0.2638809847136514,0.26388098471367116,0.13116501657077412,0.13116501657077395
14,1,1,232.30999755859375,11,11014,232.30999755859375,237.29000091552734,238.10812338574004,237.78237031228343,-5.472372753689683,0,-5.305756430390204,-5.798125827146293,-4.980003356933594,232.30999755859375,237.78237031228343,232.47661388189323,231.98424448513714,232.80236695534984,,,14,-0.49236939675607516,11014,-5.305756430390204,,,,,,,-4.699191252076278,-5.687433869201119,-5.20489109643663,,,,,,,,,,,,0.2001297640105264,0.20012976401054713,-0.13116501657077423,-0.13116501657077395
15,1,1,240.0500030517578,11,11015,240.0500030517578,238.42374992370605,238.10812338574004,237.78237031228343,2.2676327394743794,0,1.3005000545951475,1.941879666017769,1.6262531280517578,240.0500030517578,237.78237031228343,239.08287036687858,239.7242499783012,239.4086234403352,,,15,0.6413796114226358,11015,1.3005000545951475,,,,,,,1.9070652329090734,0.918822615784233,1.4013653885487216,,,,,,,,,,,,-0.4236190152863486,-0.4236190152863294,,
