"TIME","FACTOR 1","FACTOR 2","Y"
1,1,1,236.92999267578125
1,1,1,239.6699981689453
1,1,2,237.38999938964844
1,1,2,236.38999938964844
1,2,1,236.3000030517578
1,2,1,*
1,2,2,241.35000610351562
1,2,2,240.27999877929687
1,3,1,236.08999633789063
1,3,1,234.64999389648437
1,3,2,232.3000030517578
1,3,2,239.67999267578125
1,4,1,*
1,4,1,235.13999938964844
1,4,2,241.88999938964844
1,4,2,240.61000061035156
2,1,1,239.6699981689453
2,1,1,237.7823703122834
2,1,2,*
2,1,2,239.27000427246094
2,2,1,236.47000122070312
2,2,1,236.69000244140625
2,2,2,*
2,2,2,239.19000244140625
2,3,1,234.00999450683594
2,3,1,235.44000244140625
2,3,2,237.22000122070312
2,3,2,237.82000732421875
2,4,1,235.60000610351562
2,4,1,*
2,4,2,238.99000549316406
2,4,2,238.9499969482422
3,1,1,237.4600067138672
3,1,1,237.8300018310547
3,1,2,239.0800018310547
3,1,2,*
3,2,1,236.85000610351562
3,2,1,236.77999877929687
3,2,2,*
3,2,2,240.16000366210937
3,3,1,237.08999633789062
3,3,1,*
3,3,2,238.64999389648437
3,3,2,238.97000122070312
3,4,1,236.6300048828125
3,4,1,236.25
3,4,2,239.10000610351562
3,4,2,*
4,1,1,238.66000366210937
4,1,1,238.67999267578125
4,1,2,238
4,1,2,238.52000427246094
4,2,1,236.8699951171875
4,2,1,236.9499969482422
4,2,2,239.16000366210937
4,2,2,*
4,3,1,*
4,3,1,236.3800048828125
4,3,2,237.64999389648437
4,3,2,237.91000366210937
4,4,1,236.02000427246094
4,4,1,237.05999755859375
4,4,2,238.9600067138672
4,4,2,238.27000427246094
5,1,1,237.97999572753906
5,1,1,238.02999877929687
5,1,2,*
5,1,2,239.32000732421875
5,2,1,236.97000122070312
5,2,1,236.57000732421875
5,2,2,239.77999877929687
5,2,2,239.41000366210937
5,3,1,235.52000427246094
5,3,1,235.6300048828125
5,3,2,237.8000030517578
5,3,2,238.02000427246094
5,4,1,236.6699981689453
5,4,1,236.41000366210937
5,4,2,239.00999450683594
5,4,2,238.8000030517578
6,1,1,237.7100067138672
6,1,1,*
6,1,2,238.9600067138672
6,1,2,239.1699981689453
6,2,1,237.39999389648437
6,2,1,237.16000366210937
6,2,2,*
6,2,2,238.69000244140625
6,3,1,236.77000427246094
6,3,1,236.02999877929687
6,3,2,237.22000122070312
6,3,2,237.86000061035156
6,4,1,237.3800048828125
6,4,1,236.61000061035156
6,4,2,238.22000122070312
6,4,2,239.10000610351562
7,1,1,236.0399932861328
7,1,1,232.30999755859375
7,1,2,239.0800018310547
7,1,2,232.32000732421875
7,2,1,237.55999755859375
7,2,1,237.7100067138672
7,2,2,240.13999938964844
7,2,2,*
7,3,1,237.10000610351562
7,3,1,*
7,3,2,238.33999633789062
7,3,2,*
7,4,1,237.1300048828125
7,4,1,237.4499969482422
7,4,2,239.38999938964844
7,4,2,240.44000244140625
8,1,1,240.0500030517578
8,1,1,238.77999877929687
8,1,2,236.89999389648437
8,1,2,238.55999755859375
8,2,1,237.2899932861328
8,2,1,236.8000030517578
8,2,2,240.24000549316406
8,2,2,239.47999572753906
8,3,1,235.77000427246094
8,3,1,*
8,3,2,239.4199981689453
8,3,2,238.27000427246094
8,4,1,236.6699981689453
8,4,1,235.35000610351562
8,4,2,*
8,4,2,239.1300048828125
9,1,1,*
9,1,1,238.39999389648437
9,1,2,239.22000122070312
9,1,2,*
9,2,1,236.60000610351562
9,2,1,235.47999572753906
9,2,2,239.8800048828125
9,2,2,239.91000366210937
9,3,1,235.8000030517578
9,3,1,234.17999267578125
9,3,2,238.5399932861328
9,3,2,239.08999633789063
9,4,1,*
9,4,1,235.77999877929687
9,4,2,239.10000610351562
9,4,2,*
10,1,1,239.9199981689453
10,1,1,238.77999877929687
10,1,2,238.02000427246094
10,1,2,238.0800018310547
10,2,1,236.69000244140625
10,2,1,236.86000061035156
10,2,2,239.1699981689453
10,2,2,239.13999938964844
10,3,1,234.67999267578125
10,3,1,*
10,3,2,237.85000610351562
10,3,2,237.9600067138672
10,4,1,236.30999755859375
10,4,1,236.3800048828125
10,4,2,239.1199951171875
10,4,2,238.9199981689453
11,1,1,238.69000244140625
11,1,1,238.97000122070312
11,1,2,237.86000061035156
11,1,2,237.9600067138672
11,2,1,236.66000366210937
11,2,1,237.47000122070313
11,2,2,239.4199981689453
11,2,2,238.5800018310547
11,3,1,235.05999755859375
11,3,1,*
11,3,2,237.9600067138672
11,3,2,237.58999633789063
11,4,1,236.11000061035156
11,4,1,*
11,4,2,239.77999877929687
11,4,2,238.35000610351562
12,1,1,238.64999389648437
12,1,1,238.8300018310547
12,1,2,237.9199981689453
12,1,2,238.16000366210937
12,2,1,236.6699981689453
12,2,1,236.88999938964844
12,2,2,*
12,2,2,238.91000366210937
12,3,1,235.63999938964844
12,3,1,236.35000610351562
12,3,2,237.77000427246094
12,3,2,*
12,4,1,236.8000030517578
12,4,1,236.4499969482422
12,4,2,238.60000610351562
12,4,2,238.82000732421875
13,1,1,*
13,1,1,238.5500030517578
13,1,2,238.67999267578125
13,1,2,239.27999877929687
